A26,BLK 113/114/118 ANG MO KIO AVE 4,1.372770,103.835449,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A27,BLK 108/109/110 ANG MO KIO ST 11,1.370363,103.838318,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A28,BLK 103/105/107 ANG MO KIO ST 11,1.371650,103.837463,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A29,BLK 347 ANG MO KIO AVENUE 3,1.367226,103.848717,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A30,BLK 129/134 ANG MO KIO STREET 12,1.370990,103.842422,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A30A,BLK 133 ANG MO KIO STREET 12,1.370218,103.842758,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A31,BLK 119/128 ANG MO KIO ST 12,1.370451,103.843697,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A31A,BLK 125/126 ANG MO KIO STREET 12,1.371859,103.843658,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
A33,BLK 253/254 ANG MO KIO STREET 21,1.370021,103.834694,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
A34,BLK 422/425 ANG MO KIO ST 42,1.368356,103.851669,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A35,BLK 426/428/435 ANG MO KIO ST 43,1.368646,103.854080,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A36,BLK 436/443/445 ANG MO KIO ST 43,1.366407,103.855278,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A37,BLK 446/449/453 ANG MO KIO ST 43,1.368113,103.855560,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A38,BLK 407/410/421 ANG MO KIO AVE 10,1.363964,103.854591,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A39,BLK 401/405 ANG MO KIO AVE 10,1.361151,103.854073,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.365692,103.841194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A40,BLK 471/476 ANG MO KIO ST 44,1.362356,103.856979,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,BLK 466/470 ANG MO KIO ST 44,1.364937,103.856934,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A42,BLK 461/465 ANG MO KIO ST 44,1.366580,103.857361,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A43,BLK 457/458/460 ANG MO KIO ST 44,1.365997,103.859268,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A44,BLK 459/456 ANG MO KIO ST 44,1.367206,103.858994,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A45,BLK 570/578 ANG MO KIO ST 51,1.370918,103.855232,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A47,BLK 562/565/560 ANG MO KIO STREET 54,1.370558,103.859245,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A48,BLK 571/73 ANG MO KIO ST 51,1.370371,103.854652,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A49,BLK 555/559 ANG MO KIO STREET 54,1.371330,103.857796,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A50,BLK 548/552/556 ANG MO KIO STREET 54,1.372522,103.857613,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A51,BLK 252/253A ANG MO KIO STREET 21,1.369471,103.834373,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.40,N
A52,BLK 701/716 ANG MO KIO AVE 3/6,1.370385,103.846924,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,1.369281,103.846138,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N
A53,BLK 712A ANG MO KIO AVE 3/6,1.370865,103.846878,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.80,N
A54,BLK 727/728 ANG MO KIO AVE 6,1.372434,103.845917,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A55,BLK 729/730 ANG MO KIO AVE 6/8,1.373639,103.846664,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A56,BLK 725/730 ANG MO KIO AVE 8,1.372699,103.847145,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A57,BLK 720/723 ANG MO KIO AVE 8,1.372020,103.846962,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A58,BLK 721/722 ANG MO KIO AVE 8,1.372347,103.847725,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A59,BLK 547/551 ANG MO KIO ST 54,1.373896,103.858139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.80,N
A60,BLK 540/546 ANG MO KIO ST 54,1.374465,103.855911,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,1.374170,103.852158,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A63,BLK 501/513/508 ANG MO KIO ST 52/53,1.375217,103.849396,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
A64,BLK 584/586 ANG MO KIO ST 51,1.370535,103.853462,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.40,N
